ts_event,publisher_id,product_id,open,high,low,close,volume
1651795200000000000,1,3403,4147750000000,4153250000000,4062000000000,4110750000000,2206803
1651795200000000000,1,2895,12884750000000,12928750000000,12519000000000,12663500000000,833420
1651968000000000000,1,3403,4087250000000,4099000000000,4075000000000,4080000000000,29380
1651968000000000000,1,2895,12605000000000,12637250000000,12551750000000,12575750000000,15015
1652054400000000000,1,3403,4079750000000,4093500000000,3970000000000,3999250000000,2048732
1652054400000000000,1,2895,12578000000000,12624000000000,12135250000000,12235500000000,792397
1652140800000000000,1,3403,3999250000000,4065500000000,3953000000000,3991750000000,2191576
1652140800000000000,1,2895,12235000000000,12547000000000,12102250000000,12338750000000,837734
1652227200000000000,1,3403,3991750000000,4050500000000,3923750000000,3942750000000,2111885
1652227200000000000,1,2895,12338750000000,12553250000000,11938500000000,12008750000000,856790
1652313600000000000,1,3403,3942750000000,3961750000000,3855000000000,3942000000000,2327439
1652313600000000000,1,2895,12007750000000,12132750000000,11689000000000,12023000000000,869113
1652400000000000000,1,3403,3942000000000,4036000000000,3937750000000,4014000000000,1767065
1652400000000000000,1,2895,12022750000000,12432000000000,12006750000000,12364000000000,641451
1652572800000000000,1,3403,4025000000000,4042000000000,4018750000000,4035500000000,28290
1652572800000000000,1,2895,12409000000000,12498750000000,12389500000000,12468750000000,16022
1652659200000000000,1,3403,4035500000000,4043500000000,3979500000000,4008750000000,1626628
1652659200000000000,1,2895,12468000000000,12471750000000,12190250000000,12267750000000,610481
1652745600000000000,1,3403,4008500000000,4095000000000,4003500000000,4085500000000,1666334
1652745600000000000,1,2895,12268000000000,12594000000000,12252500000000,12563000000000,648020
1652832000000000000,1,3403,4085500000000,4089000000000,3898000000000,3898500000000,2112703
1652832000000000000,1,2895,12562250000000,12573250000000,11822250000000,11826500000000,730961
1652918400000000000,1,3403,3898250000000,3943500000000,3856000000000,3908000000000,2258663
1652918400000000000,1,2895,11826250000000,12076750000000,11704000000000,11933500000000,813774
1653004800000000000,1,3403,3908500000000,3949500000000,3807500000000,3902000000000,2298369
1653004800000000000,1,2895,11935250000000,12096750000000,11491250000000,11838000000000,787161
1653177600000000000,1,3403,3910500000000,3937750000000,3910250000000,3935750000000,28975
1653177600000000000,1,2895,11866000000000,11988000000000,11858000000000,11972250000000,13056
1653264000000000000,1,3403,3935500000000,3982250000000,3906500000000,3947750000000,1693202
1653264000000000000,1,2895,11971750000000,12075500000000,11783750000000,11888500000000,659555
1653350400000000000,1,3403,3947500000000,3963750000000,3872000000000,3958750000000,1953606
1653350400000000000,1,2895,11887750000000,11898000000000,11576250000000,11854250000000,696754
1653436800000000000,1,3403,3958500000000,3997750000000,3913500000000,3969750000000,1687483
1653436800000000000,1,2895,11854000000000,12036000000000,11672000000000,11892750000000,661600
1653523200000000000,1,3403,3969500000000,4073500000000,3960500000000,4056750000000,1421599
1653523200000000000,1,2895,11892000000000,12343000000000,11848250000000,12290250000000,604254
1653609600000000000,1,3403,4056750000000,4168250000000,4041250000000,4168000000000,1468732
1653609600000000000,1,2895,12290250000000,12720250000000,12222000000000,12717500000000,591044
1653782400000000000,1,3403,4164500000000,4173250000000,4157500000000,4167500000000,13120
1653782400000000000,1,2895,12705250000000,12757000000000,12672750000000,12737750000000,8519
1653868800000000000,1,3403,4167500000000,4202250000000,4161250000000,4177750000000,196654
1653868800000000000,1,2895,12736750000000,12883000000000,12720250000000,12815250000000,128908
1653955200000000000,1,3403,4177750000000,4179500000000,4102750000000,4148250000000,1945225
1653955200000000000,1,2895,12815500000000,12822750000000,12480000000000,12704500000000,691552
